year,State,Vehicles Weighed (Fixed platform Scale),Vehicles Weighed (WIM Scale),Vehicles Weighed (Portable Scale),Vehicles Weighed (Semi-portable Scale),oversize_violation_current_year,overweight_violation_current_year,non_divisible_trip_permits,non_divisible_annual_permits,divisible_trip_permits,divisible_annual_permits
2022,SC,158198,4329430,4214,0,1929,3576,69212,15205,0,1356
2022,SD,526707,903894,340,0,223,2415,84064,7440,482,10222
2022,TN,1090607,5557904,188,0,1039,5039,124048,8076,0,0
2022,TX,36163,881399,5389,964,745,9116,284774,39519,88315,59542
2022,UT,6445506,7128032,256,0,183,4311,33434,3795,5533,16616
2022,VA,4502195,19291629,8257,0,182,28156,60451,14131,0,0
2022,VT,4197,0,338,0,42,172,2354,12800,0,8759
2022,WA,1276169,8685046,1472,,1777,7154,85928,4458,0,2902
2022,WI,358142,2953324,1431,0,625,4685,24393,5712,0,7139
2022,WV,222320,206837,554,,72,391,104,1794,,
2022,WY,411617,5217354,267,,374,3423,37655,798,674,1605
2021,AK,77051,1545994,328,0,54,685,4616,258,0,0
2021,AL,117625,1179383,82741,0,701,296,134294,10799,0,0
2021,AR,7376,402028,4888,252,1026,1764,165375,177,3351,395
2021,AZ,1559188,12707719,132,3032,52,1512,60308,1697,14,1814
2021,CA,5683713,76610209,878,0,8806,14922,147750,18302,0,11
2021,CO,1097766,1054040,8161,8298,1517,3066,15544,7225,116,12334
2021,CT,251823,300873,629,0,345,4621,87150,666,0,2126
2021,DC,54,60335700,83,0,0,67,0,0,1523,1428
2021,DE,25962,491588,376,0,58,623,45407,10,99238,0
2021,FL,5103207,15487919,12751,123,9601,45397,76589,24904,125,4945
2021,GA,1933857,31645187,3082,0,110,22143,162400,22417,2,126
2021,HI,22390,104079,9,395,0,488,1796,66,0,0
2021,IA,350424,327246,3039,652,487,4631,98008,22484,0,254
2021,ID,1375766,3202443,16172,0,126,3409,12269,4882,1,27908
2021,IL,1077290,11045414,5104,20702,0,513,134281,2161,0,0
2021,IN,189051,2320583,1144,0,56,3166,232811,3532,170189,5152
2021,KS,591883,2319896,10504,0,426,3784,68724,9124,0,0
2021,KY,116635,3637664,2749,2318,1380,782,81461,6119,1297,1092
2021,LA,1063153,9251943,2741,0,292,10104,97487,2115,0,12766
2021,MA,,,19240,48352,704,3729,44569,2266,0,24830
2021,MD,669745,13360816,1417,0,128,9882,124916,5257,0,0
2021,ME,29880,1797256,1104,0,53,567,14538,207,0,0
2021,MI,6929,2698000,3720,0,679,4601,84164,11930,0,73
2021,MN,1412577,3773,887,0,347,1062,33396,2999,0,8143
2021,MO,907801,11710654,1214,0,782,5511,151194,6549,35,893
2021,MS,4039784,2573592,7042,1200,434,8039,140491,1848,0,11157
2021,MT,475015,740704,7839,0,426,917,17461,1654,1520,447
2021,NC,3867995,9291966,26538,1967,728,17295,116252,16158,0,0
2021,ND,18207,14503,635,3821,6,110,113466,3888,1214,6203
